SpecCode,Species,Autoctr,Stockcode,PopCharRefNo,Sex,SourceRef,Wmax,TypeWeight,Lmax,Type,tmax,Locality,C_Code,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,Comments,SameWL,SameLt,TS
898,Prionace glauca,794,914,776,unsexed,31395,NA,NA,383,TL,20,Northeast Atlantic,826,3,13/09/1993 00:00,NA,04/10/1999 00:00,NA,NA,NA,0,-1,NA
898,Prionace glauca,795,914,6099,unsexed,NA,NA,NA,200,TL,NA,Japan,392,3,13/09/1993 00:00,NA,13/09/1993 00:00,NA,NA,NA,0,0,NA
898,Prionace glauca,796,914,6099,unsexed,NA,NA,NA,280,TL,NA,off California,840,3,13/09/1993 00:00,NA,13/09/1993 00:00,NA,NA,NA,0,0,NA
898,Prionace glauca,797,914,27093,unsexed,27094,NA,NA,320,FL,NA,Northern American waters,840,3,05/08/1998 00:00,NA,05/08/1998 00:00,NA,NA,NA,0,0,NA
898,Prionace glauca,5350,914,54997,unsexed,54997,NA,NA,390,TL,NA,"southern region, 1997-2002",NA,3,29/07/2005 00:00,3,29/07/2005 00:00,NA,NA,NA,0,0,NA
898,Prionace glauca,6976,914,5951,unsexed,NA,NA,NA,383,TL,NA,Canadian Atlantic,124,1472,12/07/2007 00:00,NA,12/07/2007 00:00,NA,NA,NA,0,0,NA
898,Prionace glauca,8041,914,58048,unsexed,NA,NA,NA,383,TL,NA,not specified,360,1790,15/02/2008 01:48,NA,15/02/2008 01:48,NA,NA,NA,0,0,NA
899,Rhizoprionodon acutus,798,915,3678,unsexed,NA,NA,NA,100,TL,NA,South Africa,710,3,31/05/1992 00:00,NA,29/05/1993 00:00,NA,NA,NA,0,0,NA
899,Rhizoprionodon acutus,799,915,27160,unsexed,27160,NA,NA,97,TL,NA,Rio Grande de Buba,624,3,03/09/1998 00:00,NA,03/09/1998 00:00,NA,NA,NA,0,0,NA
899,Rhizoprionodon acutus,3046,915,47613,unsexed,NA,NA,NA,102,TL,NA,Persian Gulf and Oman Sea,364,1124,08/07/2003 00:00,NA,08/07/2003 00:00,NA,NA,NA,0,0,NA
899,Rhizoprionodon acutus,8042,915,58048,unsexed,NA,NA,NA,110,TL,NA,not specified,360,1790,15/02/2008 01:54,NA,15/02/2008 01:54,NA,NA,NA,0,0,NA
900,Rhizoprionodon lalandii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
901,Rhizoprionodon longurio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
902,Rhizoprionodon oligolinx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
903,Rhizoprionodon porosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
904,Rhizoprionodon taylori,800,920,9161,female,9161,NA,NA,78.4,TL,7,"Cleveland Bay, Queensland",36,3,03/05/1995 00:00,NA,03/05/1995 00:00,NA,NA,NA,0,0,NA
904,Rhizoprionodon taylori,801,920,9161,male,9161,NA,NA,69.1,TL,6,"Cleveland Bay, Queensland",36,3,03/05/1995 00:00,NA,03/05/1995 00:00,NA,NA,NA,0,0,NA
904,Rhizoprionodon taylori,8043,920,58048,unsexed,NA,NA,NA,67,TL,NA,not specified,360,1790,15/02/2008 02:00,NA,15/02/2008 02:00,NA,NA,NA,0,0,NA
905,Rhizoprionodon terraenovae,802,921,9161,unsexed,9169,NA,NA,NA,NA,8,USA,840,3,03/05/1995 00:00,NA,03/05/1995 00:00,NA,NA,NA,0,0,NA
905,Rhizoprionodon terraenovae,803,921,47641,unsexed,47641,NA,NA,81.3,OT,10,"Chesapeake Bay, Virginia to Port Canaveral, Florida, 1997-1999",840,3,26/07/2001 00:00,3,16/05/2013 00:41,NA,NA,Age estimated from vertebral sections. Tmax validated by MIA and tag-recapture (Ref. 6140; 39247; 30214). Lmax refers to precaudal length.,0,0,NA
906,Scoliodon laticaudus,8044,922,58048,unsexed,NA,NA,NA,74,TL,NA,not specified,360,1790,15/02/2008 02:04,NA,15/02/2008 02:04,NA,NA,NA,0,0,NA
906,Scoliodon laticaudus,15685,922,94495,unsexed,NA,NA,NA,75,TL,NA,Yangon Market,104,2383,09/10/2013 12:18,393,12/09/2014 00:00,NA,NA,The study was carried out in December 2002.,0,0,NA
67046,Scoliodon macrorhynchos,15522,58060,84283,female,NA,NA,NA,70.7,TL,NA,Not specified,344,14,18/07/2013 00:00,NA,18/07/2013 00:00,NA,NA,NA,0,0,NA
67046,Scoliodon macrorhynchos,15523,58060,84283,male,NA,NA,NA,63.6,TL,NA,Not specified,344,14,18/07/2013 00:00,NA,18/07/2013 00:00,NA,NA,NA,0,0,NA
907,Triaenodon obesus,804,923,31395,female,NA,NA,NA,168,TL,16,Not given,NA,1,04/10/1999 00:00,NA,04/10/1999 00:00,NA,NA,NA,0,-1,NA
907,Triaenodon obesus,8045,923,58048,unsexed,NA,NA,NA,200,FL,NA,not specified,360,1790,15/02/2008 02:09,NA,15/02/2008 02:09,NA,NA,NA,0,0,NA
907,Triaenodon obesus,16586,923,89972,unsexed,NA,NA,NA,210,TL,NA,Not specified.,258,2291,10/09/2014 00:00,NA,10/09/2014 00:00,NA,NA,NA,0,0,NA
